Código Município Completo;Nome_UF;Nome_Mesorregião;Nome_Microrregião;Nome_Município;Area_Municipio;;;;;
2111300;Maranhão;Norte Maranhense;Aglomeração Urbana de São Luís;São Luís;Área Rural;;;;;
2111409;Maranhão;Centro Maranhense;Médio Mearim;São Luís Gonzaga do Maranhão;Área Rural;;;;;
2111508;Maranhão;Centro Maranhense;Médio Mearim;São Mateus do Maranhão;Área Rural;;;;;
2111532;Maranhão;Oeste Maranhense;Imperatriz;São Pedro da Água Branca;Área Rural;;;;;
2111573;Maranhão;Sul Maranhense;Porto Franco;São Pedro dos Crentes;Área Rural;;;;;
2111607;Maranhão;Sul Maranhense;Chapadas das Mangabeiras;São Raimundo das Mangabeiras;Área Rural;;;;;
2111631;Maranhão;Centro Maranhense;Médio Mearim;São Raimundo do Doca Bezerra;Área Rural;;;;;
2111672;Maranhão;Centro Maranhense;Médio Mearim;São Roberto;Área Rural;;;;;
2111706;Maranhão;Norte Maranhense;Baixada Maranhense;São Vicente Ferrer;Área Rural;;;;;
2111722;Maranhão;Centro Maranhense;Médio Mearim;Satubinha;Área Rural;;;;;
2111748;Maranhão;Centro Maranhense;Presidente Dutra;Senador Alexandre Costa;Área Rural;;;;;
2111763;Maranhão;Oeste Maranhense;Imperatriz;Senador La Rocque;Área Rural;;;;;
2111789;Maranhão;Norte Maranhense;Litoral Ocidental Maranhense;Serrano do Maranhão;Área Rural;;;;;
2111805;Maranhão;Centro Maranhense;Alto Mearim e Grajaú;Sítio Novo;Área Rural;;;;;
2111904;Maranhão;Leste Maranhense;Chapadas do Alto Itapecuru;Sucupira do Norte;Área Rural;;;;;
2111953;Maranhão;Leste Maranhense;Chapadas do Alto Itapecuru;Sucupira do Riachão;Área Rural;;;;;
2112001;Maranhão;Sul Maranhense;Gerais de Balsas;Tasso Fragoso;Área Rural;;;;;
2112100;Maranhão;Leste Maranhense;Codó;Timbiras;Área Rural;;;;;
2112209;Maranhão;Leste Maranhense;Caxias;Timon;Área Rural;;;;;
2112233;Maranhão;Centro Maranhense;Médio Mearim;Trizidela do Vale;Área Rural;;;;;
2112274;Maranhão;Oeste Maranhense;Pindaré;Tufilândia;Área Rural;;;;;
2112308;Maranhão;Centro Maranhense;Alto Mearim e Grajaú;Tuntum;Área Rural;;;;;
2112407;Maranhão;Oeste Maranhense;Gurupi;Turiaçu;Área Rural;;;;;
2112456;Maranhão;Oeste Maranhense;Gurupi;Turilândia;Área Rural;;;;;
2112506;Maranhão;Norte Maranhense;Lençóis Maranhenses;Tutóia;Área Rural;;;;;
2112605;Maranhão;Leste Maranhense;Chapadinha;Urbano Santos;Área Rural;;;;;
2112704;Maranhão;Norte Maranhense;Itapecuru Mirim;Vargem Grande;Área Rural;;;;;
2112803;Maranhão;Norte Maranhense;Baixada Maranhense;Viana;Área Rural;;;;;
2112852;Maranhão;Oeste Maranhense;Imperatriz;Vila Nova dos Martírios;Área Rural;;;;;
2112902;Maranhão;Norte Maranhense;Baixada Maranhense;Vitória do Mearim;Área Rural;;;;;
2113009;Maranhão;Oeste Maranhense;Pindaré;Vitorino Freire;Área Rural;;;;;
2114007;Maranhão;Oeste Maranhense;Pindaré;Zé Doca;Área Rural;;;;;
2200053;Piauí;Sudeste Piauiense;Alto Médio Canindé;Acauã;Área Rural;;;;;
2200103;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Agricolândia;Área Rural;;;;;
2200202;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Água Branca;Área Rural;;;;;
2200251;Piauí;Sudeste Piauiense;Pio IX;Alagoinha do Piauí;Área Rural;;;;;
2200277;Piauí;Sudeste Piauiense;Pio IX;Alegrete do Piauí;Área Rural;;;;;
2200301;Piauí;Centro-Norte Piauiense;Campo Maior;Alto Longá;Área Rural;;;;;
2200400;Piauí;Centro-Norte Piauiense;Teresina;Altos;Área Rural;;;;;
2200459;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Alvorada do Gurguéia;Área Rural;;;;;
2200509;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Amarante;Área Rural;;;;;
2200608;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Angical do Piauí;Área Rural;;;;;
2200707;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Anísio de Abreu;Área Rural;;;;;
2200806;Piauí;Sudoeste Piauiense;Bertolínia;Antônio Almeida;Área Rural;;;;;
2200905;Piauí;Centro-Norte Piauiense;Valença do Piauí;Aroazes;Área Rural;;;;;
2200954;Piauí;Sudeste Piauiense;Picos;Aroeiras do Itaim;Área Rural;;;;;
2201002;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Arraial;Área Rural;;;;;
2201051;Piauí;Centro-Norte Piauiense;Campo Maior;Assunção do Piauí;Área Rural;;;;;
2201101;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Avelino Lopes;Área Rural;;;;;
2201150;Piauí;Sudoeste Piauiense;Alto Parnaíba Piauiense;Baixa Grande do Ribeiro;Área Rural;;;;;
2201176;Piauí;Centro-Norte Piauiense;Valença do Piauí;Barra D'Alcântara;Área Rural;;;;;
2201200;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Barras;Área Rural;;;;;
2201309;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Barreiras do Piauí;Área Rural;;;;;
2201408;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Barro Duro;Área Rural;;;;;
2201507;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Batalha;Área Rural;;;;;
2201556;Piauí;Sudeste Piauiense;Alto Médio Canindé;Bela Vista do Piauí;Área Rural;;;;;
2201572;Piauí;Sudeste Piauiense;Alto Médio Canindé;Belém do Piauí;Área Rural;;;;;
2201606;Piauí;Centro-Norte Piauiense;Teresina;Beneditinos;Área Rural;;;;;
2201705;Piauí;Sudoeste Piauiense;Bertolínia;Bertolínia;Centro Urbano;;;;;
2201739;Piauí;Sudeste Piauiense;Alto Médio Canindé;Betânia do Piauí;Área Rural;;;;;
2201770;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Boa Hora;Área Rural;;;;;
2201804;Piauí;Sudeste Piauiense;Picos;Bocaina;Área Rural;;;;;
2201903;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Bom Jesus;Área Rural;;;;;
2201919;Piauí;Norte Piauiense;Litoral Piauiense;Bom Princípio do Piauí;Área Rural;;;;;
2201929;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Bonfim do Piauí;Área Rural;;;;;
2201945;Piauí;Centro-Norte Piauiense;Campo Maior;Boqueirão do Piauí;Área Rural;;;;;
2201960;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Brasileira;Área Rural;;;;;
2201988;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Brejo do Piauí;Área Rural;;;;;
2202000;Piauí;Norte Piauiense;Litoral Piauiense;Buriti dos Lopes;Área Rural;;;;;
2202026;Piauí;Centro-Norte Piauiense;Campo Maior;Buriti dos Montes;Área Rural;;;;;
2202059;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Cabeceiras do Piauí;Área Rural;;;;;
2202075;Piauí;Sudeste Piauiense;Picos;Cajazeiras do Piauí;Área Rural;;;;;
2202083;Piauí;Norte Piauiense;Litoral Piauiense;Cajueiro da Praia;Área Rural;;;;;
2202091;Piauí;Sudeste Piauiense;Alto Médio Canindé;Caldeirão Grande do Piauí;Área Rural;;;;;
2202109;Piauí;Sudeste Piauiense;Alto Médio Canindé;Campinas do Piauí;Área Rural;;;;;
2202117;Piauí;Sudeste Piauiense;Alto Médio Canindé;Campo Alegre do Fidalgo;Área Rural;;;;;
2202133;Piauí;Sudeste Piauiense;Alto Médio Canindé;Campo Grande do Piauí;Área Rural;;;;;
2202174;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Campo Largo do Piauí;Área Rural;;;;;
2202208;Piauí;Centro-Norte Piauiense;Campo Maior;Campo Maior;Centro Urbano;;;;;
2202251;Piauí;Sudoeste Piauiense;Floriano;Canavieira;Área Rural;;;;;
2202307;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Canto do Buriti;Área Rural;;;;;
2202406;Piauí;Centro-Norte Piauiense;Campo Maior;Capitão de Campos;Área Rural;;;;;
2202455;Piauí;Sudeste Piauiense;Alto Médio Canindé;Capitão Gervásio Oliveira;Área Rural;;;;;
2202505;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Caracol;Área Rural;;;;;
2202539;Piauí;Norte Piauiense;Litoral Piauiense;Caraúbas do Piauí;Área Rural;;;;;
2202554;Piauí;Sudeste Piauiense;Alto Médio Canindé;Caridade do Piauí;Área Rural;;;;;
2202604;Piauí;Centro-Norte Piauiense;Campo Maior;Castelo do Piauí;Área Rural;;;;;
2202653;Piauí;Norte Piauiense;Litoral Piauiense;Caxingó;Área Rural;;;;;
2202703;Piauí;Norte Piauiense;Litoral Piauiense;Cocal;Área Rural;;;;;
2202711;Piauí;Centro-Norte Piauiense;Campo Maior;Cocal de Telha;Área Rural;;;;;
2202729;Piauí;Norte Piauiense;Litoral Piauiense;Cocal dos Alves;Área Rural;;;;;
2202737;Piauí;Centro-Norte Piauiense;Teresina;Coivaras;Área Rural;;;;;
2202752;Piauí;Sudoeste Piauiense;Bertolínia;Colônia do Gurguéia;Área Rural;;;;;
2202778;Piauí;Sudeste Piauiense;Picos;Colônia do Piauí;Área Rural;;;;;
2202802;Piauí;Sudeste Piauiense;Alto Médio Canindé;Conceição do Canindé;Área Rural;;;;;
2202851;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Coronel José Dias;Área Rural;;;;;
2202901;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Corrente;Área Rural;;;;;
2203008;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Cristalândia do Piauí;Área Rural;;;;;
2203107;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Cristino Castro;Área Rural;;;;;
2203206;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Curimatá;Área Rural;;;;;
2203230;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Currais;Área Rural;;;;;
2203271;Piauí;Sudeste Piauiense;Alto Médio Canindé;Curral Novo do Piauí;Área Rural;;;;;
2203255;Piauí;Centro-Norte Piauiense;Teresina;Curralinhos;Área Rural;;;;;
2203305;Piauí;Centro-Norte Piauiense;Teresina;Demerval Lobão;Área Rural;;;;;
2203354;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Dirceu Arcoverde;Área Rural;;;;;
2203404;Piauí;Sudeste Piauiense;Picos;Dom Expedito Lopes;Área Rural;;;;;
2203453;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Dom Inocêncio;Área Rural;;;;;
2203420;Piauí;Centro-Norte Piauiense;Campo Maior;Domingos Mourão;Área Rural;;;;;
2203503;Piauí;Centro-Norte Piauiense;Valença do Piauí;Elesbão Veloso;Área Rural;;;;;
2203602;Piauí;Sudoeste Piauiense;Bertolínia;Eliseu Martins;Área Rural;;;;;
2203701;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Esperantina;Área Rural;;;;;
2203750;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Fartura do Piauí;Área Rural;;;;;
2203800;Piauí;Sudoeste Piauiense;Floriano;Flores do Piauí;Área Rural;;;;;
2203859;Piauí;Sudeste Piauiense;Alto Médio Canindé;Floresta do Piauí;Área Rural;;;;;
2203909;Piauí;Sudoeste Piauiense;Floriano;Floriano;Centro Urbano;;;;;
2204006;Piauí;Centro-Norte Piauiense;Valença do Piauí;Francinópolis;Área Rural;;;;;
2204105;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Francisco Ayres;Área Rural;;;;;
2204154;Piauí;Sudeste Piauiense;Alto Médio Canindé;Francisco Macedo;Área Rural;;;;;
2204204;Piauí;Sudeste Piauiense;Pio IX;Francisco Santos;Área Rural;;;;;
2204303;Piauí;Sudeste Piauiense;Alto Médio Canindé;Fronteiras;Área Rural;;;;;
2204352;Piauí;Sudeste Piauiense;Picos;Geminiano;Área Rural;;;;;
2204402;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Gilbués;Área Rural;;;;;
2204501;Piauí;Sudoeste Piauiense;Floriano;Guadalupe;Área Rural;;;;;
2204550;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Guaribas;Área Rural;;;;;
2204600;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Hugo Napoleão;Área Rural;;;;;
2204659;Piauí;Norte Piauiense;Litoral Piauiense;Ilha Grande;Área Rural;;;;;
2204709;Piauí;Centro-Norte Piauiense;Valença do Piauí;Inhuma;Área Rural;;;;;
2204808;Piauí;Sudeste Piauiense;Picos;Ipiranga do Piauí;Área Rural;;;;;
2204907;Piauí;Sudeste Piauiense;Alto Médio Canindé;Isaías Coelho;Área Rural;;;;;
2205003;Piauí;Sudeste Piauiense;Alto Médio Canindé;Itainópolis;Área Rural;;;;;
2205102;Piauí;Sudoeste Piauiense;Floriano;Itaueira;Área Rural;;;;;
2205151;Piauí;Sudeste Piauiense;Alto Médio Canindé;Jacobina do Piauí;Área Rural;;;;;
2205201;Piauí;Sudeste Piauiense;Alto Médio Canindé;Jaicós;Área Rural;;;;;
2205250;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Jardim do Mulato;Área Rural;;;;;
2205276;Piauí;Centro-Norte Piauiense;Campo Maior;Jatobá do Piauí;Área Rural;;;;;
2205300;Piauí;Sudoeste Piauiense;Floriano;Jerumenha;Área Rural;;;;;
2205359;Piauí;Sudeste Piauiense;Alto Médio Canindé;João Costa;Área Rural;;;;;
2205409;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Joaquim Pires;Área Rural;;;;;
2205458;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Joca Marques;Área Rural;;;;;
2205508;Piauí;Centro-Norte Piauiense;Teresina;José de Freitas;Área Rural;;;;;
2205516;Piauí;Centro-Norte Piauiense;Campo Maior;Juazeiro do Piauí;Área Rural;;;;;
2205524;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Júlio Borges;Área Rural;;;;;
2205532;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Jurema;Área Rural;;;;;
2205557;Piauí;Centro-Norte Piauiense;Teresina;Lagoa Alegre;Área Rural;;;;;
2205573;Piauí;Centro-Norte Piauiense;Campo Maior;Lagoa de São Francisco;Área Rural;;;;;
2205565;Piauí;Sudeste Piauiense;Alto Médio Canindé;Lagoa do Barro do Piauí;Área Rural;;;;;
2205581;Piauí;Centro-Norte Piauiense;Teresina;Lagoa do Piauí;Área Rural;;;;;
2205599;Piauí;Centro-Norte Piauiense;Valença do Piauí;Lagoa do Sítio;Área Rural;;;;;
2205540;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Lagoinha do Piauí;Área Rural;;;;;
2205607;Piauí;Sudoeste Piauiense;Bertolínia;Landri Sales;Área Rural;;;;;
2205706;Piauí;Norte Piauiense;Litoral Piauiense;Luís Correia;Área Rural;;;;;
2205805;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Luzilândia;Área Rural;;;;;
2205854;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Madeiro;Área Rural;;;;;
2205904;Piauí;Sudoeste Piauiense;Bertolínia;Manoel Emídio;Área Rural;;;;;
2205953;Piauí;Sudeste Piauiense;Alto Médio Canindé;Marcolândia;Área Rural;;;;;
2206001;Piauí;Sudoeste Piauiense;Bertolínia;Marcos Parente;Área Rural;;;;;
2206050;Piauí;Sudeste Piauiense;Alto Médio Canindé;Massapê do Piauí;Área Rural;;;;;
2206100;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Matias Olímpio;Área Rural;;;;;
2206209;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Miguel Alves;Área Rural;;;;;
2206308;Piauí;Centro-Norte Piauiense;Teresina;Miguel Leão;Área Rural;;;;;
2206357;Piauí;Centro-Norte Piauiense;Campo Maior;Milton Brandão;Área Rural;;;;;
2206407;Piauí;Centro-Norte Piauiense;Teresina;Monsenhor Gil;Área Rural;;;;;
2206506;Piauí;Sudeste Piauiense;Pio IX;Monsenhor Hipólito;Área Rural;;;;;
2206605;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Monte Alegre do Piauí;Área Rural;;;;;
2206654;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Morro Cabeça no Tempo;Área Rural;;;;;
2206670;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Morro do Chapéu do Piauí;Área Rural;;;;;
2206696;Piauí;Norte Piauiense;Litoral Piauiense;Murici dos Portelas;Área Rural;;;;;
2206704;Piauí;Sudoeste Piauiense;Floriano;Nazaré do Piauí;Área Rural;;;;;
2206720;Piauí;Centro-Norte Piauiense;Teresina;Nazária;Área Rural;;;;;
2206753;Piauí;Centro-Norte Piauiense;Campo Maior;Nossa Senhora de Nazaré;Área Rural;;;;;
2206803;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Nossa Senhora dos Remédios;Área Rural;;;;;
2207959;Piauí;Sudeste Piauiense;Alto Médio Canindé;Nova Santa Rita;Área Rural;;;;;
2206902;Piauí;Centro-Norte Piauiense;Valença do Piauí;Novo Oriente do Piauí;Área Rural;;;;;
2206951;Piauí;Centro-Norte Piauiense;Campo Maior;Novo Santo Antônio;Área Rural;;;;;
2207009;Piauí;Sudeste Piauiense;Picos;Oeiras;Área Rural;;;;;
2207108;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Olho D'Água do Piauí;Área Rural;;;;;
2207207;Piauí;Sudeste Piauiense;Alto Médio Canindé;Padre Marcos;Área Rural;;;;;
2207306;Piauí;Sudeste Piauiense;Alto Médio Canindé;Paes Landim;Área Rural;;;;;
2207355;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Pajeú do Piauí;Área Rural;;;;;
2207405;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Palmeira do Piauí;Área Rural;;;;;
2207504;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Palmeirais;Área Rural;;;;;
2207553;Piauí;Sudeste Piauiense;Picos;Paquetá;Área Rural;;;;;
2207603;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Parnaguá;Área Rural;;;;;
2207702;Piauí;Norte Piauiense;Litoral Piauiense;Parnaíba;Área Rural;;;;;
2207751;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Passagem Franca do Piauí;Área Rural;;;;;
2207777;Piauí;Sudeste Piauiense;Alto Médio Canindé;Patos do Piauí;Área Rural;;;;;
2207793;Piauí;Centro-Norte Piauiense;Teresina;Pau D'Arco do Piauí;Área Rural;;;;;
2207801;Piauí;Sudeste Piauiense;Alto Médio Canindé;Paulistana;Área Rural;;;;;
2207850;Piauí;Sudoeste Piauiense;Floriano;Pavussu;Área Rural;;;;;
2207900;Piauí;Centro-Norte Piauiense;Campo Maior;Pedro II;Área Rural;;;;;
2207934;Piauí;Sudeste Piauiense;Alto Médio Canindé;Pedro Laurentino;Área Rural;;;;;
2208007;Piauí;Sudeste Piauiense;Picos;Picos;Centro Urbano;;;;;
2208106;Piauí;Centro-Norte Piauiense;Valença do Piauí;Pimenteiras;Área Rural;;;;;
2208205;Piauí;Sudeste Piauiense;Pio IX;Pio IX;Centro Urbano;;;;;
2208304;Piauí;Norte Piauiense;Litoral Piauiense;Piracuruca;Área Rural;;;;;
2208403;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Piripiri;Área Rural;;;;;
2208502;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;Porto;Área Rural;;;;;
2208551;Piauí;Sudoeste Piauiense;Bertolínia;Porto Alegre do Piauí;Área Rural;;;;;
2208601;Piauí;Centro-Norte Piauiense;Valença do Piauí;Prata do Piauí;Área Rural;;;;;
2208650;Piauí;Sudeste Piauiense;Alto Médio Canindé;Queimada Nova;Área Rural;;;;;
2208700;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Redenção do Gurguéia;Área Rural;;;;;
2208809;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Regeneração;Área Rural;;;;;
2208858;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Riacho Frio;Área Rural;;;;;
2208874;Piauí;Sudeste Piauiense;Alto Médio Canindé;Ribeira do Piauí;Área Rural;;;;;
2208908;Piauí;Sudoeste Piauiense;Alto Parnaíba Piauiense;Ribeiro Gonçalves;Área Rural;;;;;
2209005;Piauí;Sudoeste Piauiense;Floriano;Rio Grande do Piauí;Área Rural;;;;;
2209104;Piauí;Sudeste Piauiense;Picos;Santa Cruz do Piauí;Área Rural;;;;;
2209153;Piauí;Centro-Norte Piauiense;Valença do Piauí;Santa Cruz dos Milagres;Área Rural;;;;;
2209203;Piauí;Sudoeste Piauiense;Alto Parnaíba Piauiense;Santa Filomena;Área Rural;;;;;
2209302;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;Santa Luz;Área Rural;;;;;
2209377;Piauí;Sudeste Piauiense;Picos;Santa Rosa do Piauí;Área Rural;;;;;
2209351;Piauí;Sudeste Piauiense;Picos;Santana do Piauí;Área Rural;;;;;
2209401;Piauí;Sudeste Piauiense;Pio IX;Santo Antônio de Lisboa;Área Rural;;;;;
2209450;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;Santo Antônio dos Milagres;Área Rural;;;;;
2209500;Piauí;Sudeste Piauiense;Alto Médio Canindé;Santo Inácio do Piauí;Área Rural;;;;;
2209559;Piauí;Sudoeste Piauiense;São Raimundo Nonato;São Braz do Piauí;Área Rural;;;;;
2209609;Piauí;Centro-Norte Piauiense;Valença do Piauí;São Félix do Piauí;Área Rural;;;;;
2209658;Piauí;Sudeste Piauiense;Alto Médio Canindé;São Francisco de Assis do Piauí;Área Rural;;;;;
2209708;Piauí;Sudoeste Piauiense;Floriano;São Francisco do Piauí;Área Rural;;;;;
2209757;Piauí;Sudoeste Piauiense;Alto Médio Gurguéia;São Gonçalo do Gurguéia;Área Rural;;;;;
2209807;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;São Gonçalo do Piauí;Área Rural;;;;;
2209856;Piauí;Sudeste Piauiense;Picos;São João da Canabrava;Área Rural;;;;;
2209872;Piauí;Norte Piauiense;Litoral Piauiense;São João da Fronteira;Área Rural;;;;;
2209906;Piauí;Centro-Norte Piauiense;Campo Maior;São João da Serra;Área Rural;;;;;
2209955;Piauí;Sudeste Piauiense;Picos;São João da Varjota;Área Rural;;;;;
2209971;Piauí;Norte Piauiense;Baixo Parnaíba Piauiense;São João do Arraial;Área Rural;;;;;
2210003;Piauí;Sudeste Piauiense;Alto Médio Canindé;São João do Piauí;Área Rural;;;;;
2210052;Piauí;Norte Piauiense;Litoral Piauiense;São José do Divino;Área Rural;;;;;
2210102;Piauí;Sudoeste Piauiense;Floriano;São José do Peixe;Área Rural;;;;;
2210201;Piauí;Sudeste Piauiense;Picos;São José do Piauí;Área Rural;;;;;
2210300;Piauí;Sudeste Piauiense;Pio IX;São Julião;Área Rural;;;;;
2210359;Piauí;Sudoeste Piauiense;São Raimundo Nonato;São Lourenço do Piauí;Área Rural;;;;;
2210375;Piauí;Sudeste Piauiense;Picos;São Luis do Piauí;Área Rural;;;;;
2210383;Piauí;Centro-Norte Piauiense;Valença do Piauí;São Miguel da Baixa Grande;Área Rural;;;;;
2210391;Piauí;Sudoeste Piauiense;Floriano;São Miguel do Fidalgo;Área Rural;;;;;
2210409;Piauí;Centro-Norte Piauiense;Campo Maior;São Miguel do Tapuio;Área Rural;;;;;
2210508;Piauí;Centro-Norte Piauiense;Médio Parnaíba Piauiense;São Pedro do Piauí;Área Rural;;;;;
2210607;Piauí;Sudoeste Piauiense;São Raimundo Nonato;São Raimundo Nonato;Centro Urbano;;;;;
2210623;Piauí;Sudoeste Piauiense;Chapadas do Extremo Sul Piauiense;Sebastião Barros;Área Rural;;;;;
2210631;Piauí;Sudoeste Piauiense;Bertolínia;Sebastião Leal;Área Rural;;;;;
2210656;Piauí;Centro-Norte Piauiense;Campo Maior;Sigefredo Pacheco;Área Rural;;;;;
2210706;Piauí;Sudeste Piauiense;Alto Médio Canindé;Simões;Área Rural;;;;;
2210805;Piauí;Sudeste Piauiense;Alto Médio Canindé;Simplício Mendes;Área Rural;;;;;
2210904;Piauí;Sudeste Piauiense;Alto Médio Canindé;Socorro do Piauí;Área Rural;;;;;
2210938;Piauí;Sudeste Piauiense;Picos;Sussuapara;Área Rural;;;;;
2210953;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Tamboril do Piauí;Área Rural;;;;;
2210979;Piauí;Sudeste Piauiense;Picos;Tanque do Piauí;Área Rural;;;;;
2211001;Piauí;Centro-Norte Piauiense;Teresina;Teresina;Centro Urbano;;;;;
2211100;Piauí;Centro-Norte Piauiense;Teresina;União;Área Rural;;;;;
2211209;Piauí;Sudoeste Piauiense;Alto Parnaíba Piauiense;Uruçuí;Área Rural;;;;;
2211308;Piauí;Centro-Norte Piauiense;Valença do Piauí;Valença do Piauí;Centro Urbano;;;;;
2211357;Piauí;Sudoeste Piauiense;São Raimundo Nonato;Várzea Branca;Área Rural;;;;;
2211407;Piauí;Centro-Norte Piauiense;Valença do Piauí;Várzea Grande;Área Rural;;;;;
2211506;Piauí;Sudeste Piauiense;Alto Médio Canindé;Vera Mendes;Área Rural;;;;;
2211605;Piauí;Sudeste Piauiense;Alto Médio Canindé;Vila Nova do Piauí;Área Rural;;;;;
2211704;Piauí;Sudeste Piauiense;Picos;Wall Ferraz;Área Rural;;;;;
2300101;Ceará;Sul Cearense;Brejo Santo;Abaiara;Área Rural;;;;;
2300150;Ceará;Norte Cearense;Baturité;Acarape;Área Rural;;;;;
2300200;Ceará;Noroeste Cearense;Litoral de Camocim e Acaraú;Acaraú;Área Rural;;;;;
2300309;Ceará;Sertões Cearenses;Sertão de Senador Pompeu;Acopiara;Área Rural;;;;;
2300408;Ceará;Sertões Cearenses;Sertão de Inhamuns;Aiuaba;Área Rural;;;;;
2300507;Ceará;Noroeste Cearense;Meruoca;Alcântaras;Área Rural;;;;;
2300606;Ceará;Sul Cearense;Caririaçu;Altaneira;Área Rural;;;;;
2300705;Ceará;Jaguaribe;Baixo Jaguaribe;Alto Santo;Área Rural;;;;;
2300754;Ceará;Norte Cearense;Itapipoca;Amontada;Área Rural;;;;;
2300804;Ceará;Centro-Sul Cearense;Várzea Alegre;Antonina do Norte;Área Rural;;;;;
2300903;Ceará;Norte Cearense;Médio Curu;Apuiarés;Área Rural;;;;;
2301000;Ceará;Metropolitana de Fortaleza;Fortaleza;Aquiraz;Área Rural;;;;;
2301109;Ceará;Jaguaribe;Litoral de Aracati;Aracati;Área Rural;;;;;
2301208;Ceará;Norte Cearense;Baturité;Aracoiaba;Área Rural;;;;;
2301257;Ceará;Sertões Cearenses;Sertão de Cratéus;Ararendá;Área Rural;;;;;
2301307;Ceará;Sul Cearense;Chapada do Araripe;Araripe;Área Rural;;;;;
2301406;Ceará;Norte Cearense;Baturité;Aratuba;Área Rural;;;;;
2301505;Ceará;Sertões Cearenses;Sertão de Inhamuns;Arneiroz;Área Rural;;;;;
2301604;Ceará;Sul Cearense;Chapada do Araripe;Assaré;Área Rural;;;;;
2301703;Ceará;Sul Cearense;Barro;Aurora;Área Rural;;;;;
2301802;Ceará;Centro-Sul Cearense;Lavras da Mangabeira;Baixio;Área Rural;;;;;
2301851;Ceará;Sertões Cearenses;Sertão de Quixeramobim;Banabuiú;Área Rural;;;;;
