Código Município Completo;Nome_UF;Nome_Mesorregião;Nome_Microrregião;Nome_Município;Area_Municipio;;;;;
1200807;Acre;Vale do Acre;Rio Branco;Porto Acre;Área Rural;;;;;
1200393;Acre;Vale do Juruá;Cruzeiro do Sul;Porto Walter;Área Rural;;;;;
1200401;Acre;Vale do Acre;Rio Branco;Rio Branco;Centro Urbano;;;;;
1200427;Acre;Vale do Juruá;Cruzeiro do Sul;Rodrigues Alves;Área Rural;;;;;
1200435;Acre;Vale do Acre;Sena Madureira;Santa Rosa do Purus;Área Rural;;;;;
1200500;Acre;Vale do Acre;Sena Madureira;Sena Madureira;Centro Urbano;;;;;
1200450;Acre;Vale do Acre;Rio Branco;Senador Guiomard;Área Rural;;;;;
1200609;Acre;Vale do Juruá;Tarauacá;Tarauacá;Centro Urbano;;;;;
1200708;Acre;Vale do Acre;Brasiléia;Xapuri;Área Rural;;;;;
1300029;Amazonas;Centro Amazonense;Tefé;Alvarães;Área Rural;;;;;
1300060;Amazonas;Sudoeste Amazonense;Alto Solimões;Amaturá;Área Rural;;;;;
1300086;Amazonas;Centro Amazonense;Coari;Anamã;Área Rural;;;;;
1300102;Amazonas;Centro Amazonense;Coari;Anori;Área Rural;;;;;
1300144;Amazonas;Sul Amazonense;Madeira;Apuí;Área Rural;;;;;
1300201;Amazonas;Sudoeste Amazonense;Alto Solimões;Atalaia do Norte;Área Rural;;;;;
1300300;Amazonas;Centro Amazonense;Manaus;Autazes;Área Rural;;;;;
1300409;Amazonas;Norte Amazonense;Rio Negro;Barcelos;Área Rural;;;;;
1300508;Amazonas;Centro Amazonense;Parintins;Barreirinha;Área Rural;;;;;
1300607;Amazonas;Sudoeste Amazonense;Alto Solimões;Benjamin Constant;Área Rural;;;;;
1300631;Amazonas;Centro Amazonense;Coari;Beruri;Área Rural;;;;;
1300680;Amazonas;Centro Amazonense;Parintins;Boa Vista do Ramos;Área Rural;;;;;
1300706;Amazonas;Sul Amazonense;Boca do Acre;Boca do Acre;Centro Urbano;;;;;
1300805;Amazonas;Sul Amazonense;Madeira;Borba;Área Rural;;;;;
1300839;Amazonas;Centro Amazonense;Coari;Caapiranga;Área Rural;;;;;
1300904;Amazonas;Sul Amazonense;Purus;Canutama;Área Rural;;;;;
